type,title,url,parent_url,local_path,status,size_bytes,seconds,error
post,Photoshop for VFX Artists - 1: Tools,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627459/posts/2159032198,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627459,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/Intro to Photoshop/Photoshop for VFX Artists - 1_ Tools.html,REPLACED,263362,15.946,
post,Photoshop for VFX Artists - 2: Layers,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627459/posts/2159032201,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627459,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/Intro to Photoshop/Photoshop for VFX Artists - 2_ Layers.html,REPLACED,263060,13.542,
post,Photoshop for VFX Artists - 3: Adjustments,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627459/posts/2159032202,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627459,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/Intro to Photoshop/Photoshop for VFX Artists - 3_ Adjustments.html,REPLACED,264881,12.575,
post,Photoshop for VFX Artists - 4: Pro Tips,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627459/posts/2159032203,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627459,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/Intro to Photoshop/Photoshop for VFX Artists - 4_ Pro Tips.html,REPLACED,263607,7.123,
post,Photoshop For VFX Artists - 5: Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627459/posts/2170119553,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627459,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/Intro to Photoshop/Photoshop For VFX Artists - 5_ Animation.html,REPLACED,268783,12.815,
post,2D Software Introduction Review,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150659703/posts/2159034276,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150659703,Hand-Drawn 2D FX_ Level 1/2D Software Introduction - Explained/Review/2D Software Introduction Review.html,REPLACED,257862,7.112,
post,Small to Big - Intro Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203/posts/2163608805,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/2D FX Playbook/Small to Big - Intro Animation.html,REPLACED,268062,13.602,
post,Pop-up - Intro Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203/posts/2163608808,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/2D FX Playbook/Pop-up - Intro Animation.html,REPLACED,261654,13.753,
post,Squash & Stretch - Intro Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203/posts/2163608815,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/2D FX Playbook/Squash & Stretch - Intro Animation.html,REPLACED,262224,13.323,
post,In-motion - Intro Animation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203/posts/2163608825,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2151838203,Hand-Drawn 2D FX_ Level 1/2D FX Basics - Animation/2D FX Playbook/In-motion - Intro Animation.html,REPLACED,265869,12.944,
