type,title,url,parent_url,local_path,status
post,Project Download,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159389663/posts/2194720543,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159389663,VFX Apprentice Asset Library/VFX by Bruno Ferreira Belício/Project Download.html,DISCOVERED
post,Project Download,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159728446/posts/2196052417,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2159728446,VFX Apprentice Asset Library/VFX by Martin Blasina/Project Download.html,DISCOVERED
post,Project Download,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158686925/posts/2191853781,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158686925,VFX Apprentice Asset Library/VFX by Orçun Sarı/Project Download.html,DISCOVERED
post,Project Download,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158892725/posts/2192668724,https://www.vfxapprentice.com/products/vfx-apprentice-asset-library/categories/2158892725,VFX Apprentice Asset Library/VFX by De Andre Martin/Project Download.html,DISCOVERED
post,Introduction - Dan Elder,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627140/posts/2158959455,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627140,Hand-Drawn 2D FX_ Level 1/FX Design Principles - Explained/Introduction - Dan Elder.html,DISCOVERED
post,Intention,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627140/posts/2158959457,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627140,Hand-Drawn 2D FX_ Level 1/FX Design Principles - Explained/Intention.html,DISCOVERED
post,Physical Properties,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627140/posts/2158959458,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627140,Hand-Drawn 2D FX_ Level 1/FX Design Principles - Explained/Physical Properties.html,DISCOVERED
post,Composition (Staging),https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627140/posts/2158959461,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627140,Hand-Drawn 2D FX_ Level 1/FX Design Principles - Explained/Composition (Staging).html,DISCOVERED
post,Solid Drawing,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627140/posts/2158959462,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627140,Hand-Drawn 2D FX_ Level 1/FX Design Principles - Explained/Solid Drawing.html,DISCOVERED
post,Number of Frames,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141/posts/2158959480,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141,Hand-Drawn 2D FX_ Level 1/FX Timing Principles - Explained/Number of Frames.html,DISCOVERED
post,Straight-Ahead & Key Framing,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141/posts/2158959481,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141,Hand-Drawn 2D FX_ Level 1/FX Timing Principles - Explained/Straight-Ahead & Key Framing.html,DISCOVERED
post,Ease In & Ease Out,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141/posts/2158959484,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141,Hand-Drawn 2D FX_ Level 1/FX Timing Principles - Explained/Ease In & Ease Out.html,DISCOVERED
post,Anticipation,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141/posts/2158959485,https://www.vfxapprentice.com/products/hand-drawn-2d-fx-level-1/categories/2150627141,Hand-Drawn 2D FX_ Level 1/FX Timing Principles - Explained/Anticipation.html,DISCOVERED
