type,title,url,parent_url,local_path,status,size_bytes,seconds,error
post,U&U Fire Explosion Breakdown,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613644/posts/2164336947,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613644,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/U&U Fire Explosion Breakdown/U&U Fire Explosion Breakdown.html,FAILED_OUTPUT_MISSING,0,3.818,
post,Offset & Normal Map in Photoshop,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613649/posts/2158917899,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613649,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/Wispy Spiral Dissolve Textures/Offset & Normal Map in Photoshop.html,FAILED_OUTPUT_MISSING,0,4.656,
post,Sphere Meshes in Maya,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613649/posts/2158906063,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613649,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/Wispy Spiral Dissolve Textures/Sphere Meshes in Maya.html,DOWNLOADED,354565,9.292,
post,Dissolve Map in Photoshop,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613649/posts/2158917904,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613649,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/Wispy Spiral Dissolve Textures/Dissolve Map in Photoshop.html,FAILED_OUTPUT_MISSING,0,4.882,
post,U&U Wispy Cloud Breakdown,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613650/posts/2164336969,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613650,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/U&U Wispy Cloud Breakdown/U&U Wispy Cloud Breakdown.html,DOWNLOADED,411418,10.324,
post,Lightning Design Phase,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150771941/posts/2159506250,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150771941,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/Zappy Flipbook & Dissolve/Lightning Design Phase.html,DOWNLOADED,459699,6.397,
post,Lightning Inbetween Phase,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150771941/posts/2159506256,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150771941,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/Zappy Flipbook & Dissolve/Lightning Inbetween Phase.html,DOWNLOADED,436267,9.870,
post,Lightning Animation Phase,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150771941/posts/2159506252,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150771941,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/Zappy Flipbook & Dissolve/Lightning Animation Phase.html,DOWNLOADED,499534,11.085,
post,Burst Color Pass,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150771941/posts/2158906047,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150771941,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/Zappy Flipbook & Dissolve/Burst Color Pass.html,FAILED_OUTPUT_MISSING,0,5.870,
post,Burst Gradients,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150771941/posts/2158917788,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150771941,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/Zappy Flipbook & Dissolve/Burst Gradients.html,DOWNLOADED,445498,9.645,
post,U&U Lightning Zap Breakdown,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613646/posts/2164336967,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613646,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/U&U Lightning Zap Breakdown/U&U Lightning Zap Breakdown.html,DOWNLOADED,411521,6.453,
post,Bowl Mesh in Maya,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613652/posts/2158906068,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613652,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/Gooey Dissolve Material/Bowl Mesh in Maya.html,DOWNLOADED,497999,6.249,
post,Gooey Shape Painting,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613652/posts/2158906067,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613652,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/Gooey Dissolve Material/Gooey Shape Painting.html,DOWNLOADED,407977,6.355,
post,Dissolve Map Photoshop Tricks,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613652/posts/2158917943,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613652,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/Gooey Dissolve Material/Dissolve Map Photoshop Tricks.html,DOWNLOADED,411677,6.259,
post,Normal Maps,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613652/posts/2158917944,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613652,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/Gooey Dissolve Material/Normal Maps.html,DOWNLOADED,498850,9.900,
post,U&U Goo Splat Breakdown,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613677/posts/2164342914,https://www.vfxapprentice.com/products/hand-crafted-3d-vfx-level-2/categories/2150613677,Hand-Crafted 3D VFX_ Level 2/VFX Case Studies - Unreal & Unity/U&U Goo Splat Breakdown/U&U Goo Splat Breakdown.html,DOWNLOADED,431971,9.434,
post,Portfolio - Professional Examples,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661699/posts/2160576159,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661699,Apprenticeship Level 3/Soft Skills - Explained/Portfolio & Application Planning/Portfolio - Professional Examples.html,DOWNLOADED,441670,6.418,
post,Portfolio - Tips & Tricks,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661699/posts/2160576156,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661699,Apprenticeship Level 3/Soft Skills - Explained/Portfolio & Application Planning/Portfolio - Tips & Tricks.html,DOWNLOADED,440792,10.787,
post,Portfolio - Student Review,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661699/posts/2167480384,https://www.vfxapprentice.com/products/apprenticeship-level-3/categories/2150661699,Apprenticeship Level 3/Soft Skills - Explained/Portfolio & Application Planning/Portfolio - Student Review.html,DOWNLOADED,430742,6.274,
